,Acetanaerobacterium,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Allisonella,Allobaculum,Anaerococcus,Anaerofilum,Anaerorhabdus,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Atopobium,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Brevibacterium,Bulleidia,Butyricicoccus,Butyricimonas,Caldimonas,Caloramator,Campylobacter,Catenibacterium,Citrobacter,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Comamonas,Coprobacillus,Coprococcus,Corynebacterium,Cronobacter,Denitrobacterium,Desulfotomaculum,Desulfovibrio,Dialister,Dietzia,Dorea,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Erwinia,Erysipelothrix,EscherichiaShigella,Ethanoligenens,Eubacterium,Faecalibacterium,Filifactor,Finegoldia,Flavonifractor,Fusobacterium,Gardnerella,Gemella,Gemmiger,Geosporobacter,Gordonibacter,Gracilibacter,Granulicatella,Haemophilus,Hafnia,Halomonas,Hespellia,Holdemania,Howardella,Klebsiella,Kluyvera,Lachnobacterium,Lactobacillus,Lactococcus,Lactonifactor,Leuconostoc,Lutispora,Marvinbryantia,Megamonas,Megasphaera,Methanobrevibacter,Methylobacterium,Micrococcus,Mitsuokella,Mobiluncus,Mogibacterium,Moryella,Murdochiella,Mycoplasma,Negativicoccus,Neisseria,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Pantoea,Papillibacter,Parabacteroides,Paraprevotella,Parasporobacterium,Parasutterella,Parvimonas,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Proteus,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Pyramidobacter,Rhodococcus,Robinsoniella,Roseburia,Rothia,Ruminococcus,Saccharofermentans,Salmonella,Selenomonas,Shewanella,Slackia,Sneathia,Solobacterium,Sphingomonas,Sporanaerobacter,Sporobacter,Staphylococcus,Stenotrophomonas,Streptococcus,Subdoligranulum,Succinivibrio,Sutterella,TM7_genera_incertae_sedis,Tepidimicrobium,Tindallia,Tissierella,Turicibacter,Unassigned,Vampirovibrio,Varibaculum,Veillonella,Victivallis,Weissella,Zimmermannella
CNTRL20,4.347816,44.46851,25.499144,4.7428803,4.8122144,30.92862,134.95593,0.9151889,35.363926,45.02719,0.8072101,2.063876,47.15047,35.81821,2.5235643,6.987943,0.6725605,526.4584,126.759766,63.235798,13.604157,263.41974,5.75,0.06601946,3.6255164,8.916747,0.45893344,15.255513,278.35513,28.337448,0.08464043,32.390537,3.4599907,31.758451,23.185047,310.35507,18.972324,8.154356,9.052436,0.17037742,0.37978578,92.06217,9.48234,0.4531948,0.5013651,0.7172338,25.258558,356.5457,5.6970215,104.116844,0.9799695,0.23123446,11.622528,3.922151,0.18242455,3.831501,28.960695,0.40770236,96.88048,249.97763,670.9354,59.432434,3.276123,42.35271,0.9078728,3.141271,83.99597,0.07567953,0.20007557,46.4556,5.0819545,1.7496166,0.074079014,0.16171654,5.1718006,2.9603043,3.0717008,0.6813315,0.22414379,0.9708006,17.994295,1.408799,0.24433845,0.13988526,5.98488,1.689388,23.05603,35.34455,2.3686986,0.6650071,0.29878157,27.692202,3.146118,5.1734533,0.24178009,3.314874,5.3344884,0.21212369,0.34189513,28.924559,86.15008,2.7758977,186.92819,0.4061715,1.6199243,158.60318,28.842432,16.193766,12.255677,7.5460877,5.9194217,55.06629,23.774387,134.08401,51.438957,1309.3616,0.44061238,0.20457634,4.454798,2.4607081,7.7153816,0.3610632,67.28267,0.6323945,354.7535,0.63407356,239.75392,0.697556,61.14263,2.2652256,294143.78,0.66657513,5.8223853,1.9916438,3.153687,0.13602689,36.548462,2.225959,12.744428,25.73655,10.970053,56389.64,15.005056,0.55780566,1.6919224,0.116865076,0.015225525,5.045315,400.29758,15.02872,8.395289,9.388415,1.2506765,0.4981815,10.469874
CNTRL23,0.7940456,18.353403,6.499928,2.6510718,0.2545485,19.653515,14.931728,0.48741472,4.018823,14.43755,0.18409388,0.14169417,0.6718585,3.2446082,0.43318853,2.4520564,3.474204,423.3498,7.7136393,9.417077,18.00011,22.676424,1.0791817,0.2160223,4.2827353,2.2628083,0.11983834,0.55321467,18.728973,4.604306,11.263142,6.180783,2.41599,5.5618415,6.889087,76.76027,5.408984,9.742051,9.078317,23.159552,1.3665744,25.805563,12.897896,6.1594467,0.25771987,0.11495067,1.7477082,39.27009,1.6289132,12.7980995,2.7164767,18.905478,6.032835,1.1221048,1.0145255,0.6495122,665.8507,0.35635236,24.346027,87.15064,4.9627438,29.217962,2.4308605,25.06643,1.658599,1.4279726,11.052358,0.032891452,0.27093837,6.0498977,14.785257,0.92059,0.40436023,1.1556387,3.821906,0.9679558,1.6059033,3.5407224,3.497689,0.88087565,26.901217,1.1978815,0.28857493,0.15427294,1.0326273,0.56561905,24.00036,2.030089,1.8066348,0.5374411,1.1259936,2.5132182,1.5834792,2.1129885,0.5978162,7.5247474,0.29409957,0.35717833,0.6716738,4.041831,2.235052,0.37846655,133.78023,1.3551288,0.45647418,18.628574,6.940787,0.6751472,3.672188,8.609401,1.3753912,49.861088,2.5777376,7.655288,11.299446,79.21638,0.27097058,243.91756,1.7738873,2.1147785,1.420021,38.577118,2.308724,0.34002087,184.2448,0.5664267,56.03874,3.4566364,1.9702094,1.6766104,0.35159212,0.62904763,3.9704695,0.3792641,1.4332839,0.10831083,4.642383,0.7159502,2.2044826,107.66138,0.3563064,2.715085,3.0906835,0.60889804,12.170534,0.05924222,0.3632356,0.31646547,153.54742,0.7383273,2.9743342,15.764974,0.15296453,1.1530316,0.12552765
CNTRL300,4.8464017,14.877495,10.091432,5.031117,4.718899,4.7230844,64.524,1.3972259,87.17939,281.26328,0.39575076,0.80543715,6.6971135,24.292398,1.0389737,30.408388,0.92922986,521.2399,39.469196,79.007034,12.337955,305.79477,1.3371179,0.10718221,9.917405,3.4675097,1.7191974,7.4851565,228.34348,40.541107,0.12671784,48.346336,2.9269552,18.817905,11.153545,463.18225,17.860332,9.865316,13.35316,0.16543427,0.097097754,225.28778,49.230938,0.2262245,0.46479023,0.3868222,37.333138,275.8172,3.6073427,146.1345,0.3486507,0.3780685,0.8923042,2.6634429,0.07711393,1.117258,34.98315,0.33158338,149.80981,608.0835,13.577416,276.73587,1.2445372,196.6142,2.8153791,2.2667575,124.89507,0.035201598,0.01853306,48.163265,12.481878,3.0002482,0.012216425,0.07922964,3.8763487,1.3125356,1.3049637,0.6060889,0.114228144,0.6223231,14.504647,0.44062895,0.11890064,0.02397678,1.86822,0.7252369,667.73773,43.570408,0.30458552,0.19908518,0.55149305,60.873344,9.271715,4.4773083,0.653169,11.604556,1.2033283,0.46959758,0.54082304,18.172308,4.9217825,2.2308698,332.64252,0.09678119,1.0986524,24.980652,18.44167,2.5779362,8.916969,39.052914,7.0861526,188.77448,77.36467,139.87198,68.992355,18479.766,0.5245591,0.028343359,3.8102825,1.6187878,2.1458745,0.40500277,74.35025,0.41963887,539.1554,0.32424134,490.3814,1.2261279,0.04679315,4.4180746,34431304000.0,0.49379194,44.614838,1.2291237,0.22878388,0.117365375,68.52803,2.2832015,2.2446675,39.985588,4.579687,18016.234,24.535652,0.2686275,16.387209,0.07391895,0.022568775,3.7680864,1304.506,7.4296823,12.712641,13.668349,0.84204656,0.22961403,9.991122
CNTRL48,1.1098789,7.2106514,20.298038,7.4335904,0.4512203,1.4394367,9.35545,1.2053778,96.26055,57.66707,0.3458487,0.2625348,2.921964,6.639197,0.27767935,7.623139,8.741185,133.77745,28.22228,25.838724,5.873302,83.01565,1.4545845,0.09488051,1.5385947,1.5521214,0.3357644,2.1107116,904.09344,11.861268,0.13318498,10.804206,1.265382,53.56672,39.437706,663.5516,2.6383505,8.682218,8.373175,0.55096686,0.6274011,79.55647,58.72128,0.6584761,0.1941895,0.16432546,9.624277,405.97446,2.4042628,23.282923,4.9140234,0.3957572,5.635972,0.96947235,0.3428272,0.44961575,43.28244,0.108785406,54.753647,104.43822,23.395851,72.93255,0.89766616,95.79761,1.0488644,128.72174,132.67596,0.08663775,0.4349973,58.49875,26.017866,2.0481763,0.04822955,0.21991676,1.6936107,1.1824907,1.0859419,3.7036757,0.31499285,0.668303,11.440032,1.3697397,0.25657043,0.15693021,1.8697363,0.4521188,2.3426955,6.6450353,0.26016325,0.664651,0.8888688,4.690191,11.264983,6.1270742,0.68560207,5.0953784,130.76624,1.1554358,0.5074879,3.594192,1.4547957,1.1919833,429.05875,0.1981468,0.34085393,8.521399,1.8987077,5.122582,10.718039,10.568093,4.2600164,118.98225,13.199532,17.644854,62.279587,703.8945,1.5077187,0.51599747,1.2203506,0.8862817,2.786103,0.5623551,5.618821,0.32499534,139.29507,1.3474762,126.53891,2.4369113,0.09481912,6.6816845,2.9011967,0.7511363,56.41476,2.0364122,0.29218745,0.038949605,7.1577945,11.287931,12.654734,276.14417,2.5045109,35.57807,3.8478627,0.98473746,5.381384,0.3630998,0.0840152,1.1439123,382.90714,2.7741725,10.905784,15.618706,0.5210708,0.20610815,0.6558846
CNTRL52,3.7936287,2.742003,0.6573962,2.0605292,5.593534,4.9981914,16.308226,1.1902577,18.114265,4.072256,0.92587006,0.68330556,1.5780361,11.593069,2.2872949,1.6033928,0.5276795,321.5794,4.623362,47.14,1.4667637,52.991283,0.31047794,0.18273707,6.02778,2.2008965,1.272606,2.6544576,9.120537,15.596157,0.51592976,11.02919,5.2767634,8.210627,17.389597,101.39486,6.0965486,9.589179,7.095567,0.19983774,1.0026257,39.220467,3.2134964,0.17582422,1.1138239,0.4348477,2.4554832,16.817919,0.28749728,29.285877,2.3181086,0.98566234,2.0514615,2.0598035,0.27722782,0.3485287,29.701195,1.0867398,12.433424,258.86694,0.3031039,8.275904,2.9308214,6.2014146,0.9057242,0.60191506,33.435726,0.17370905,0.30332434,2.4613628,2.7216141,1.9307598,0.64786154,0.93693304,3.8427331,0.9088189,0.71727234,0.5383984,0.29228345,0.64327896,27.716627,0.67367893,0.7046819,0.21508744,2.9144983,1.0387635,44.37114,6.256942,14.519747,0.2002097,0.30466366,5.6068406,1.0934553,1.0691019,0.2259793,0.6912079,0.2091966,0.5925166,0.44599998,3.2199047,2.0352173,0.7889245,24.640781,0.19583346,0.41463542,17.82831,8.9060755,1.038262,2.3284528,1.9813005,0.74339867,6.8696346,1.6148162,11.006804,1.6476315,1160.5212,0.84765255,1.5155073,5.502253,1.8081654,0.659457,0.27872828,0.41544756,1.2032781,191.95619,0.6969208,78.862236,0.32778758,0.16378655,0.7288249,4.240409,1.0439178,6.195882,1.0244888,0.28942978,0.17881298,6.511512,0.4854789,0.40371484,27.037037,1.5118142,78.7079,5.6970153,0.45134866,0.8458198,0.070412025,0.17304337,2.1568096,122.557976,3.1044476,0.9945335,4.1355257,0.33671823,0.58689016,0.3403731
CNTRL82,2.7141225,1.9443854,2.8421588,2.7424047,1.149624,3.233613,5.297128,0.8562264,7.0163264,6.2330256,1.0163054,1.3831539,2.85501,7.228024,0.6417591,3.6560805,1.1132818,31.104498,6.0361924,10.040655,2.270081,30.728535,1.2861062,0.3179166,2.6658716,2.5298483,1.3494526,4.2144885,8.854219,6.619476,0.49008194,9.447877,1.9405175,9.427426,5.504922,26.62437,2.656972,5.245746,7.2591424,0.5809723,0.43993992,18.099224,8.093501,0.79617715,1.263385,0.9528789,2.5132525,11.650901,1.8019593,15.188824,1.0376384,0.7644853,2.4226587,1.8730323,0.69340503,2.190682,9.182228,1.0174584,10.486811,27.119125,1.2963619,7.17541,1.5408254,5.8596597,0.87768805,1.6797143,22.973623,0.3654426,0.4239238,5.19529,2.0457325,1.2478684,0.19885065,0.7451097,2.4533334,1.4828101,1.4580109,0.738212,0.32322684,0.95434207,6.989399,1.4562695,0.7152581,0.2534597,2.030473,1.0856435,1.6719216,3.0266674,2.0881608,0.55626655,0.86202073,7.4651675,1.5992085,2.4810545,0.7489898,2.3387568,1.5477939,1.1318002,0.65203863,2.396271,6.3147697,1.8222051,27.684122,0.4425392,0.8881336,3.6737616,2.424276,2.557047,0.87625843,3.8336763,2.4199471,8.678245,4.638398,12.8571005,6.088122,64.90621,0.77606523,0.35986933,2.029087,1.5010796,2.4798257,0.40492117,2.2852316,1.0891508,22.585018,0.9973226,33.36561,1.4447688,0.42948055,1.0547459,2.8039742,1.2208073,3.3573277,1.5531157,0.63450104,0.5511249,6.422331,1.4315002,1.2857614,9.552068,2.3098752,18.786839,2.774106,0.83964807,2.1973505,0.47658238,0.26245221,1.9392294,38.84221,3.2921653,2.4621687,2.7059898,1.081084,0.5823718,1.7247691
CNTRL89,2.4838657,1.4798136,0.54282534,4.1809225,1.044253,2.3152747,5.702015,1.3326895,4.8717337,5.626216,0.8408428,0.4371085,0.80708826,5.2036753,0.7193797,5.185524,1.772932,35.787132,3.4808679,15.4666195,1.2525251,28.057287,0.61326635,0.50040644,3.8778512,1.1021562,0.9543511,2.4312768,11.743256,7.8221803,1.6956103,8.658035,4.0012856,7.2726216,4.786106,32.78865,2.2466471,9.390032,8.147598,0.53272957,0.4308908,25.730192,9.077386,0.9098106,1.0921755,0.5326202,1.8009546,14.173728,1.2155479,13.017451,1.1114537,4.047642,2.2979412,1.506433,0.45059967,0.37031928,48.6727,1.0498866,14.738541,43.653805,0.7111615,13.938407,1.0037864,8.657618,0.71986496,2.5896356,13.55746,0.29565233,0.4213494,5.68747,5.0263896,1.8813082,0.36020085,0.6462642,3.415338,0.6644048,1.1877248,2.0779138,0.4893082,0.9033334,5.656143,0.83797085,0.7350117,0.1664866,1.7406747,1.0471275,3.5602014,4.056054,0.8452662,0.29558778,0.615693,2.6422887,2.6417637,0.99820256,0.93872917,2.7245007,0.4860096,1.5682573,0.90793014,1.949953,2.7623978,0.7604449,12.976569,0.4054057,0.61381316,4.726259,1.7719923,0.935793,1.1433525,2.8652503,1.9469279,11.397274,4.887828,11.782713,4.3709455,73.57236,0.8679709,0.606479,2.617858,1.6542006,0.47108695,0.651435,0.23636746,1.1864829,39.403664,1.2643096,27.492458,1.5566946,0.25388095,0.5529683,0.6069253,1.2838848,6.7502193,1.4701293,0.26008612,0.27964684,4.295063,0.88981956,0.53633124,30.810081,1.1252497,8.86055,2.6722405,0.7678678,7.6235228,0.38865215,0.43654492,1.7994949,67.067986,1.6629971,1.5149441,5.048719,0.38360927,0.5101233,0.6039449
CNTRLA1,12.635478,1.5349973,0.6227228,6.358645,1.2968472,19.93805,16.563833,1.2109857,7.256434,15.096774,2.0745056,0.8627152,2.024589,15.111815,0.6587055,18.014254,2.4884198,145.26237,10.874284,87.13389,3.612472,207.9926,0.7418814,0.4117212,7.733502,2.0920632,1.5600525,6.570927,40.843292,22.60448,0.88191605,45.04375,6.157449,24.896215,6.562391,132.02625,5.5286913,45.774635,13.880964,0.14160764,0.23082677,78.6182,25.566158,1.205779,2.1156063,0.8537711,3.0479608,43.469402,2.2084413,54.370857,1.8260238,4.854292,4.2451878,3.1786642,0.590349,0.462211,97.032845,1.3301969,89.19763,151.61858,1.663582,24.003075,1.3203647,41.703087,0.8291462,1.4505616,39.442028,0.6014821,0.26836303,27.748842,6.12662,3.8263621,0.20625892,0.45003343,4.4488435,0.65550435,1.7075149,8.150667,0.3042254,1.5628011,8.339136,1.2624091,0.5356296,0.12949772,5.339446,2.157327,2.2350872,4.9275227,1.8420433,0.27453402,0.32889658,45.76063,5.990028,3.0059452,1.1592667,9.413644,0.47931403,2.5255685,0.8404155,7.3868604,9.890903,1.7554215,77.93466,0.22087997,1.0542135,8.901285,4.163361,2.3990474,2.2587461,10.048609,6.184692,25.115831,11.103576,50.413803,12.225799,358.76395,0.70151484,0.38831747,3.514211,2.763467,0.29558834,0.27298704,0.48794392,1.6958549,148.34346,1.2431866,90.38366,2.8483827,0.49276456,0.29336947,1.5545021,2.7695613,4.9118557,4.3911295,0.15121163,0.42896184,19.843672,2.0979397,0.4580682,54.78622,2.9170249,53.538975,4.365622,1.0942286,9.119184,0.30753753,0.262695,11.270959,281.72064,3.6883307,1.9100378,26.773544,1.0975468,0.22257383,3.5813487
CNTRLA10,3.832545,1.0684563,1.6004252,4.3813734,2.340256,5.6004863,6.606514,1.2737157,11.170317,2.9898267,1.5378832,1.0622287,2.6423285,16.38127,1.1003623,3.5274992,1.4135695,42.517437,4.610385,40.402264,1.3634216,56.481693,1.3468195,0.3557679,4.3213577,1.3391498,1.126252,6.2458277,4.234961,14.374831,1.047141,18.910854,4.2540307,27.899256,12.293509,31.422083,3.1188273,10.1342535,16.095304,0.32592288,0.6986466,24.133512,7.3457575,0.9746432,3.9584925,2.0820067,3.0160143,9.129438,0.9054262,31.188303,1.6643007,2.4974859,3.66697,4.5337734,0.8769501,1.2751118,20.108131,1.6815825,24.681,54.909386,1.0758119,3.6248095,1.7128166,1.316245,0.6689967,1.1948929,32.348866,0.57170063,0.9191883,12.6984415,1.2996869,2.398099,0.64160115,1.567582,4.5319495,1.8511428,2.34384,1.82829,0.9241894,2.431396,8.625726,1.8509884,1.1296092,0.43557274,6.0866966,1.9113146,1.0407963,3.2356336,8.196494,0.65241206,0.42871794,9.458414,1.284882,1.4804573,0.29222736,2.032281,0.65763056,1.3816003,0.35502097,2.5767915,14.489678,1.3049684,22.889704,0.57921565,1.0873703,4.893223,1.7471408,1.762608,1.0428885,1.8058093,1.8040042,3.03262,2.5137336,9.931489,2.1769295,40.16585,0.8209012,0.9852128,3.8804405,1.9765083,0.97495615,0.39563835,0.80342585,1.8068842,28.480171,0.86419785,66.505486,1.5573734,1.0173513,0.5768988,2.3357995,3.4130242,2.2248423,4.366389,0.6513455,0.42259148,7.6018553,2.456758,0.88826233,17.585112,3.2748907,6.947053,1.6374156,1.1626508,1.2491878,0.38892525,0.19378258,5.176013,84.9203,3.1326132,0.99702466,4.0802603,1.0548737,0.8425697,2.171819
CNTRLA11,3.6951199,0.5875058,0.503895,4.4612346,1.4467938,2.1648571,4.9351625,1.7425725,8.702448,9.22365,1.6024047,0.5716023,1.166459,9.244839,0.6247993,9.468582,1.6707858,43.808163,4.365257,28.801018,1.950087,67.52731,0.6813592,0.6395706,7.5936446,1.448559,2.8842826,5.7481513,18.596218,18.007982,1.0800514,27.585627,4.160957,23.248116,5.0549326,66.1188,3.6806326,19.028955,14.546016,0.2287629,0.3208703,45.420044,14.776776,0.7541903,1.7370294,0.64041454,2.0535054,33.896217,1.7075217,29.099262,1.3362705,4.3454704,2.7293255,2.0226762,0.65745836,0.5155051,30.73204,1.627448,40.35161,88.88837,1.1576926,15.299138,0.8822485,6.561699,0.8676562,1.1935678,33.616837,0.4808311,0.2174009,16.618496,2.606831,2.7951179,0.19564888,0.27681068,3.3596973,0.6910057,1.1878374,1.8311509,0.26334462,1.783369,10.201953,1.9654596,0.69319767,0.12648231,1.6623615,1.7253126,3.2630138,9.250465,1.8346361,0.30924502,0.46945888,18.668869,4.945618,1.4198532,0.8590318,4.3509536,0.31993905,2.2233567,1.4211535,2.1754012,8.068383,1.5093436,33.375854,0.24204497,0.9995486,3.6627927,1.9442732,1.7659875,0.99057,4.8543124,3.3768904,21.89398,11.691079,24.02831,6.199799,193.87665,1.0382748,0.1556009,3.499358,1.7147367,0.3396559,0.25387976,0.38158697,1.2084997,63.42084,1.0913252,74.39666,2.1683295,0.15834092,0.5602308,3.7281194,1.7783749,4.712423,2.661728,0.20304522,0.5022721,8.138773,1.5356289,0.35861704,23.943907,2.3659678,25.53464,2.870623,0.912657,11.142911,0.39989665,0.3645167,3.7745461,186.97913,3.5892599,1.103251,5.9157395,0.7682907,0.30313665,1.9039142
CNTRLA2,4.226199,4.2766867,2.0061305,3.8187199,3.1557248,143.29967,45.515705,1.0571196,54.651657,12.365561,1.5770854,0.9196276,1.8329474,19.385508,1.6659899,3.6340067,0.682213,287.68555,15.533903,334.31567,3.5852957,139.47174,0.31679457,0.09951355,5.1525707,5.1564426,0.53642535,7.44011,8.033668,13.184258,2.9792793,44.563133,10.629441,18.672045,18.921534,135.55254,8.959354,29.720959,18.462996,0.49636656,0.80429465,51.437836,2.4410264,1.0411379,4.425056,1.0441211,4.134189,28.991863,1.2177327,30.388243,8.134715,2.9217842,14.281348,8.872933,0.52121544,0.8539458,86.90548,1.7382845,45.512955,142.28415,0.366598,4.4852433,2.7964318,3.9807558,0.6243512,0.6639096,62.582283,0.23067464,0.44973025,21.733929,1.4831252,2.8713646,1.4338688,7.137284,7.8516583,0.98988277,1.899342,0.9929265,1.4806286,1.4095172,69.68151,1.8431553,1.0591176,0.32960752,4.801418,1.9020425,24.051388,3.2540805,7.027784,0.33271885,0.22801374,20.4144,1.2121674,1.932922,0.28468594,2.3622468,0.16814055,1.4001396,0.5041043,11.19339,13.067597,2.0223398,61.55395,0.5039801,0.55775005,25.405136,11.367378,2.3822885,2.1866105,2.6417577,1.8923712,5.822052,5.7885237,19.399048,3.0372787,262.64838,0.3665958,12.132433,6.6390085,4.3633895,1.267091,0.7980709,0.632833,1.6577905,158.2098,1.1480274,92.13733,0.7164711,0.6810274,0.6185136,1.5849388,2.0268595,0.9804659,2.6710622,0.80658966,0.19783098,17.206388,0.70736134,1.3159789,16.5484,1.7138587,10.662886,6.2847147,0.60060745,2.0773044,0.16415173,0.16946536,7.555654,224.11714,2.6637375,1.0342247,3.9394362,1.1950558,0.7179715,1.7034534
CNTRLA3,5.9689827,26.711365,0.67777747,5.173419,0.27112404,16.231266,42.626163,1.4204824,9.365471,232.54254,0.5492383,0.16376664,1.0407641,17.0498,0.52699226,15.905323,2.5433185,1167.0935,30.971523,92.969284,15.605064,381.22314,0.6308848,0.32973623,17.988092,2.451408,1.6453984,4.1594152,141.961,39.558105,0.6339246,46.33965,5.5692415,30.323708,15.129058,367.17654,29.526804,38.146572,17.013493,0.7404415,0.29634804,69.3684,71.719345,0.9062521,0.38271993,0.20707437,4.6070924,95.3135,3.501108,87.31835,1.6779209,31.255722,1.3328165,2.2155879,0.23185629,0.114259645,391.59592,0.49401048,116.57442,613.6919,3.2594616,160.48712,1.5073918,537.79504,2.0133102,0.9661551,61.32549,0.057258606,0.05903572,74.38352,57.41068,17.328243,0.05140035,0.16712525,4.7485886,0.3718244,1.6209819,5.1612597,0.32277912,0.2910294,180.1897,0.31878644,0.08872253,0.01527773,2.8097703,1.6733103,2649.1414,16.94914,0.6279156,0.06653709,0.16674958,11.340854,8.124932,1.330933,1.6271701,84.64839,0.21603855,0.5441207,2.4396377,12.572858,2.9299262,0.82946527,202.99742,0.183402,0.5550308,15.427869,6.88931,0.5372151,4.5604444,34.22692,7.3386064,186.261,111.83612,50.78075,61.54005,4213.212,0.24776989,6.5694213,3.1873097,2.7379165,0.19364855,2.747172,0.23685625,1.8999537,431.5564,0.7108596,350.758,2.1578064,0.20708087,1.1855156,1015252.7,0.9660136,8.59565,1.0749571,0.03880071,0.18198238,37.427296,1.3208458,0.17576367,51.694862,2.035783,133.64513,12.990988,0.422957,41.50915,0.047756016,0.41855118,1.0421965,962.7868,2.885833,3.830101,42.14392,0.24853349,0.14379299,0.2573474
CNTRLA4,1.1547586,2.4768722,0.89028543,2.251276,1.0023456,0.6847012,2.010434,1.040431,4.157582,8.569357,0.5047484,0.4933349,0.8492108,2.268416,0.51969004,2.9618888,1.272194,14.138211,2.3996904,5.5188985,1.7433399,15.751125,0.91724133,0.43737364,2.8719726,0.7396723,0.67359793,0.93781346,10.834133,3.4723377,0.6222615,2.6306243,1.5777061,2.2128315,2.6155457,18.45227,1.4383639,3.2526164,4.5600224,0.97889674,0.55678415,7.5851345,5.2317796,0.79042256,0.5185687,0.20597106,1.6021663,11.11312,0.94290054,7.0416346,0.9954396,1.3887349,2.6350791,1.32889,0.43340337,0.47578645,8.54628,0.3346797,7.1486073,18.617262,1.4812357,7.890862,0.74652654,6.7538795,0.89388806,1.315897,7.7614584,0.15080287,0.29761478,4.357728,3.0046425,1.2358453,0.21582362,0.36927673,1.566194,0.6242142,1.1330987,1.2168685,0.36598328,0.5311071,26.27796,0.56637996,0.31888124,0.19713397,0.8706918,0.59090775,2.5812032,4.1670427,0.98844725,0.35551214,0.4926419,1.7647804,2.7764196,1.2061168,0.95138043,2.7762907,0.6784902,1.0432476,1.008411,1.2417243,1.7055413,0.55931515,7.2529054,0.46418613,0.47728157,4.6096396,1.5305461,0.66613036,1.7610769,3.0800061,1.3786244,11.805658,4.107273,6.461367,7.0713987,57.106304,0.7651895,0.40136504,1.9178842,0.9027719,0.77923286,0.72739,0.8597437,0.5230215,20.773775,0.58244693,13.7402725,1.3717692,0.26277405,0.83019876,0.7884023,0.5782089,6.506866,0.54727453,0.7305453,0.21784008,1.9210571,0.88630235,0.9603526,13.169711,1.1645514,3.4188924,1.834795,0.67505187,4.145204,0.24677178,0.46092275,0.83306205,23.152414,1.3019943,1.5117935,4.4471817,0.38978425,0.43008235,0.83879864
CNTRLA5,3.7207105,0.95054525,0.44691887,4.3880615,1.1095669,1.3816886,4.2823067,1.2870872,6.111907,8.776112,0.9787482,0.4018211,0.8529197,4.7174563,0.7865006,5.6213603,2.1286285,27.721928,3.4327834,14.767735,1.8936671,30.252663,0.68342894,0.5454037,5.5010924,1.007917,1.781668,4.200646,7.559243,6.6826615,1.8719909,14.628268,3.6583614,10.138303,4.017386,38.0286,3.1129248,10.548814,11.307757,0.7663997,0.41253054,19.929058,8.387697,1.2330997,1.1748275,0.65105546,1.6729978,14.429174,1.4555347,17.222506,1.3138114,9.730008,3.5854747,2.5432973,1.0565429,0.5144379,29.167156,0.99118215,20.481,47.931793,1.122385,15.21561,0.78778696,6.5767975,0.7229833,1.2571038,19.285204,0.3866065,0.2968269,16.455265,3.8756356,1.6891046,0.2781223,0.56452084,3.2154016,0.65621185,1.1192033,2.6932678,0.81670403,0.8753366,8.049716,1.40946,0.8285627,0.25511062,1.3346014,1.1227076,2.5152261,3.4722807,0.9763683,0.32450268,0.40174186,3.557849,2.966471,1.8498008,1.1681373,4.146061,0.33178514,1.2339146,1.7537385,1.372786,3.8283286,1.2959082,20.155771,0.40935552,0.9138779,3.061224,1.0925746,1.0097927,0.8914879,4.3963847,2.2940705,11.157446,6.407103,6.191885,4.9490485,79.9266,1.0290588,0.54971355,2.5032747,1.92082,0.3750653,0.47053924,0.21488522,1.3681773,30.65352,0.85699266,37.435528,2.7057247,0.39298064,0.64460355,1.9191254,1.9361831,3.9671893,1.5186033,0.2550727,0.56556886,6.35073,0.9916952,0.42094332,16.23305,1.1983415,6.5512757,2.0495644,0.9159798,8.672271,0.4834915,0.58995616,2.4884176,102.23367,1.8367684,1.4718896,5.099539,0.6137906,0.54841036,0.65144163
